,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
25753,2022-12-27 17:22:02+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
25754,2022-12-27 17:22:02+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25755,2022-12-27 17:22:02+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25756,2022-12-27 17:22:02+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
25761,2022-12-27 17:22:32+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
25762,2022-12-27 17:22:32+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25763,2022-12-27 17:22:32+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25764,2022-12-27 17:22:32+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
25769,2022-12-27 17:23:02+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
25770,2022-12-27 17:23:02+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25771,2022-12-27 17:23:02+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25772,2022-12-27 17:23:02+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
25789,2022-12-27 17:23:32+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
25790,2022-12-27 17:23:32+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25791,2022-12-27 17:23:32+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25792,2022-12-27 17:23:32+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
25801,2022-12-27 17:24:02+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
25802,2022-12-27 17:24:02+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25803,2022-12-27 17:24:02+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
25804,2022-12-27 17:24:02+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
